english|hindi|type|pronunciation
come_1|A_1|verb|kuru
come_2|aBinaya+kara_1|verb|kuru
come_3|banakara+A_1|verb|kuru
come_4|eka+niSciwa+sWalala+ko+A_1|verb|kuru
come_5|eka+niSciwa+sWAna+gqhaNa+kara_1|verb|kuru
come_6|paXAra_1|verb|kuru
come_7|praSna+meM+prayoga+kara_1|verb|kuru
come_8|upalabXa+ho_1|verb|kuru
come_9|uwara_1|verb|kuru
come_10|warka+para+pahuzca_1|verb|kuru
lustre_1|Aba_1|noun|
lustre_2|ABA_1|noun|
lustre_3|AbawAba_1|noun|
lustre_4|Aloka_1|noun|
lustre_5|camaka_1|noun|
lustre_6|CatA_1|noun|
lustre_7|jyowi_1|noun|
lustre_8|kAMwi_1|noun|
lustre_9|nUra_1|noun|
lustre_10|oja_1|noun|
lustre_11|pAnI_1|noun|
lustre_12|praBA_1|noun|
lustre_13|prakASa_1|noun|
lustre_14|SoBA_1|noun|
lustre_15|uxBAsa_1|noun|
lustre_16|varcasva_1|noun|
lustre_17|viBA_1|noun|
lustre_18|xexIpyamAnawA_1|noun|
lustre_19|xIpwi_1|noun|
lustre_20|xyuwi_1|noun|
now_1|aba_1||
now_2|sarexaswa_1||
now_3|aba_2|adjective|
now_4|aswu_1|adjective|
now_5|aXunA_1|adjective|
now_6|saMprawi_1|adjective|
now_7|sarexaswa_2|adjective|
brilliance_1|Aba_2|noun|
brilliance_2|AbawAba_2|noun|
brilliance_3|BAsa_1|noun|
brilliance_4|cakAcAzXa_1|noun|
brilliance_5|camaka_2|noun|
brilliance_6|cataka_1|noun|
brilliance_7|meXA_1|noun|
brilliance_8|prawiBA_1|noun|
brilliance_9|rOnakZa_1|noun|
brilliance_10|SoBA_2|noun|
brilliance_11|viBA_2|noun|
brilliance_12|weja_1|noun|
brilliance_13|wejasviwA_1|noun|
brilliance_14|xamaka_1|noun|
brilliance_15|xexIpyamAnawA_2|noun|
brilliance_16|xIpwi_2|noun|
brilliance_17|xyuwi_2|noun|
splendour_1|ABA_2|noun|
splendour_2|AbawAba_3|noun|
splendour_3|CatA_2|noun|
splendour_4|cataka_2|noun|
splendour_5|Cavi_1|noun|
splendour_6|jalAla_1|noun|
splendour_7|kAMwi_2|noun|
splendour_8|oja_2|noun|
splendour_9|rOnakZa_2|noun|
splendour_10|SAna_1|noun|
splendour_11|SoBA_3|noun|
splendour_12|TATa_1|noun|
splendour_13|TAta_1|noun|
splendour_14|ujAlA_1|noun|
splendour_15|vikASa_1|noun|
splendour_16|weja_2|noun|
splendour_17|xIpwi_3|noun|
tint_1|ABA_3|noun|iroai
tint_2|halakA+raMga_1|noun|iroai
tint_3|KijAba_1|noun|iroai
water_1|Aba_3|noun|mizu
water_2|aMbu_1|noun|mizu
water_3|jala_1|noun|mizu
water_4|nIra_1|noun|mizu
water_5|paMcawawwva_1|noun|mizu
water_6|pAnI_2|noun|mizu
water_7|paya_1|noun|mizu
water_8|salila_1|noun|mizu
water_9|sIMca_1|noun|mizu
water_10|vana_1|noun|mizu
water_11|vAri_1|noun|mizu
water_12|woya_1|noun|mizu
tinge_1|ABA_4|noun|iroai
swallow_1|abAbIla_1|noun|tsubame
swallow_2|dakAra_1|noun|tsubame
swallow_3|gadZapa_1|noun|tsubame
swallow_4|gataka_1|noun|tsubame
swallow_5|grasa_1|noun|tsubame
swallow_6|hadZapa_1|noun|tsubame
swallow_7|lIla_1|noun|tsubame
swallow_8|nigala_1|noun|tsubame
unfortunate_1|aBAgA_1|adjective|
unfortunate_2|hawaBAgya_1|adjective|
unfortunate_3|kamabaKZwa_1|adjective|
unfortunate_4|xurBAgyapUrNa_1|adjective|
accursed_1|aBAgA_2|noun|
accursed_2|aBAgina_1|noun|
accursed_3|aBiSapwa_1|noun|
accursed_4|SApiwa_1|noun|
unlucky_1|aBAgA_3|adjective|
unlucky_2|manahUsa_1|adjective|
misfortune_1|aBAgya_1|noun|
misfortune_2|akalyANa_1|noun|
misfortune_3|apagawi_1|noun|
misfortune_4|ariRta_1|noun|
misfortune_5|balA_1|noun|
misfortune_6|baxabaKZwI_1|noun|
misfortune_7|baxakZismawI_1|noun|
misfortune_8|kamabaKZwI_1|noun|
misfortune_9|musIbawa_1|noun|
misfortune_10|SAmawa_1|noun|
misfortune_11|xurBAgya_1|noun|
misfortune_12|xurxEva_1|noun|
climate_1|AbahavA_1|noun|kikou
climate_2|havApAnI_1|noun|kikou
climate_3|jalavAyu_1|noun|kikou
climate_4|jala-vAyu_1|noun|kikou
climate_5|pAnI_3|noun|kikou
climate_6|parisWawi_1|noun|kikou
excise_1|AbakArI_1|noun|shouhizei
uneatable_1|aBakRya_1|noun|
uneatable_2|aKAxya_1|noun|
inedible_1|aBakRya_2|noun|
inedible_2|aKAxya_2|noun|
halo_1|ABAmaNdala_1|noun|haro-
halo_2|maMdala_1|noun|haro-
halo_3|parimaMdala_1|noun|haro-
halo_4|prawimaMdala_1|noun|haro-
unbroken_1|aBaMga_1|adjective|
unbroken_2|acCinna_1|adjective|
unbroken_3|aKaMdiwa_1|adjective|
unbroken_4|akRuNNa_1|adjective|
unbroken_5|anatUtA_1|adjective|
unbroken_6|anavacCinna_1|adjective|
unbroken_7|sAbiwa_1|adjective|
unbroken_8|sAbuwa_1|adjective|
unbroken_9|sAlima_1|adjective|
unimpaired_1|aBaMga_2|adjective|
unimpaired_2|aKaMdiwa_2|adjective|
unimpaired_3|akRawa_1|adjective|
unimpaired_4|akRuNNa_2|adjective|
unimpaired_5|avikqwa_1|adjective|
allotment_1|AbaMtana_1|noun|
allotment_2|niyawana_1|noun|
allotment_3|vaMtana_1|noun|
ebony_1|AbanUsa_1|noun|kokutan
irrigation_1|AbapASI_1|noun|
irrigation_2|secana_1|noun|
irrigation_3|siMcAI_1|noun|
watering_1|AbapASI_2|verb|
watering_2|secana_2|verb|
obligation_1|ABAra_1|noun|gimu
obligation_2|anugraha_1|noun|gimu
obligation_3|BAra_1|noun|gimu
obligation_4|ehasAna_1|noun|gimu
obligation_5|inAyawa_1|noun|gimu
obligation_6|javAbaxehI_1|noun|gimu
obligation_7|jZimmA_1|noun|gimu
obligation_8|majabUrI_1|noun|gimu
obligation_9|majZabUrI_1|noun|gimu
obligation_10|pAbaMxI_1|noun|gimu
obligation_11|PZarjZa_1|noun|gimu
obligation_12|uwwaraxAyiwva_1|noun|gimu
obligation_13|xAyiwA_1|noun|gimu
gratitude_1|ABAra_2|noun|kansha,rei
gratitude_2|namakahalAlI_1|noun|kansha,rei
indebtedness_1|ABAra_3|noun|
indebtedness_2|karjZaxArI_1|noun|
indebtedness_3|kqwajFawA_1|noun|
indebtedness_4|xenaxArI_1|noun|
burden_1|ABAra_4|noun|fuka,yakkai,yakkaigoto,yakkaimono,futan
burden_2|BAra_2|noun|fuka,yakkai,yakkaigoto,yakkaimono,futan
burden_3|boJa_1|noun|fuka,yakkai,yakkaigoto,yakkaimono,futan
burden_4|lAxa_1|noun|fuka,yakkai,yakkaigoto,yakkaimono,futan
mica_1|abaraka_1|noun|unmo
mica_2|aBaraka_1|noun|unmo
ornament_1|ABaraNa_1|noun|soushokuhin
ornament_2|ABURaNa_1|noun|soushokuhin
ornament_3|alaMkAra_1|noun|soushokuhin
ornament_4|avawaMsa_1|noun|soushokuhin
ornament_5|BURaNa_1|noun|soushokuhin
ornament_6|cIjZa_1|noun|soushokuhin
ornament_7|gahanA_1|noun|soushokuhin
ornament_8|jZevara_1|noun|soushokuhin
decoration_1|ABaraNa_2|noun|
decoration_2|ABURaNa_2|noun|
decoration_3|alaMkAra_2|noun|
decoration_4|ArAiSa_1|noun|
decoration_5|BURA_1|noun|
decoration_6|BURaNa_2|noun|
decoration_7|maMdana_1|noun|
decoration_8|sAja-sajjA_1|noun|
decoration_9|sajAvata_1|noun|
decoration_10|sajAvata+kI+vaswu_1|noun|
decoration_11|sajjA_1|noun|
obliged_1|ABArI_1|adjective|
obliged_2|anugqhIwa_1|adjective|
obliged_3|bAXya_1|adjective|
obliged_4|ehasAnamaMxa_1|adjective|
obliged_5|kanOdZA_1|adjective|
obliged_6|kqwajFa_1|adjective|
obliged_7|kqwArWa_1|adjective|
obliged_8|lAcAra_1|adjective|
obliged_9|majZabUra_1|adjective|
obliged_10|maSakUra_1|adjective|
obliged_11|pAbaMxa_1|adjective|
obliged_12|upakqwa_1|adjective|
obliged_13|vivaSa_1|adjective|
grateful_1|ABArI_2|adjective|
grateful_2|anugqhIwa_2|adjective|
grateful_3|ehasAnamaMxa_2|adjective|
grateful_4|kanOdZA_2|adjective|
grateful_5|kqwajFa_2|adjective|
grateful_6|maSakUra_2|adjective|
grateful_7|upakqwa_2|adjective|
indebted_1|ABArI_3|adjective|saimu,katajikenai
indebted_2|kqwajFa_3|adjective|saimu,katajikenai
indebted_3|qNI_1|adjective|saimu,katajikenai
honour_1|AbarU_1|noun|
honour_2|Ana_1|noun|
honour_3|gOrava_1|noun|
honour_4|gZErawa_1|noun|
honour_5|ijjZawa_1|noun|
honour_6|ijZjZawa_1|noun|
honour_7|lAja_1|noun|
honour_8|nAka_1|noun|
honour_9|pAnI_4|noun|
honour_10|pawa_1|noun|
honour_11|samAxara_1|noun|
honour_12|sammAna_1|noun|
honour_13|vakZAra_1|noun|
chastity_1|AbarU_2|noun|teisou,teishuku,misao,sessou,teisetsu
chastity_2|asamawa_1|noun|teisou,teishuku,misao,sessou,teisetsu
chastity_3|sawwa_1|noun|teisou,teishuku,misao,sessou,teisetsu
chastity_4|SIla_1|noun|teisou,teishuku,misao,sessou,teisetsu
chastity_5|viSuxXi_1|noun|teisou,teishuku,misao,sessou,teisetsu
inkling_1|ABAsa_1|noun|choukou
inkling_2|BAna_1|noun|choukou
glimpse_1|ABAsa_2|noun|
glimpse_2|Jalaka_1|noun|
glimpse_3|JAzkI_1|noun|
semblance_1|ABAsa_3|noun|
semblance_2|Jalaka_2|noun|
phenomenon_1|ABAsa_4|noun|genshou
phenomenon_2|GatanA_1|noun|genshou
phenomenon_3|vyApAra_1|noun|genshou
phenomenon_4|wawwva_1|noun|genshou
phenomenon_5|xqgviRaya_1|noun|genshou
effect_1|ABAsa_5|noun|eikyou
effect_2|asara_1|noun|eikyou
effect_3|kArya_1|noun|eikyou
effect_4|Pala_1|noun|eikyou
effect_5|pariNAma_1|noun|eikyou
effect_6|praBAva_1|noun|eikyou
effect_7|wAsIra_1|noun|eikyou
hint_1|ABAsa_6|noun|hinto
hint_2|iMgiwa_1|noun|hinto
hint_3|iMgiwa+karanA_1|noun|hinto
hint_4|iSArA_1|noun|hinto
hint_5|saMkewa_1|noun|hinto
unreal_1|ABAsI_1|noun|
unreal_2|asAra_1|noun|
unreal_3|avAswava_1|noun|
unreal_4|avAswavika_1|noun|
unreal_5|ayaWArWa_1|noun|
apparent_1|ABAsI_2|adjective|akiraka
apparent_2|agUDZa_1|adjective|akiraka
apparent_3|jZAhira_1|adjective|akiraka
apparent_4|namUxAra_1|adjective|akiraka
apparent_5|numAyAz_1|adjective|akiraka
apparent_6|prakata_1|adjective|akiraka
apparent_7|prawIyamAna_1|adjective|akiraka
apparent_8|prawyakRa_1|adjective|akiraka
apparent_9|spaRta_1|adjective|akiraka
apparent_10|sPuta_1|adjective|akiraka
apparent_11|xqSyamAna_1|adjective|akiraka
visual_1|ABAsI_3|adjective|shikaku
visual_2|cAkRuRa_1|adjective|shikaku
want_1|aBAva_1|noun|
want_2|cAha_1|noun|
want_3|hAjana_1|noun|
want_4|kamI_1|noun|
want_5|kowAhI_1|noun|
want_6|rAhiwya_1|noun|
want_7|totA_1|noun|
dearth_1|aBAva_2|noun|fusoku,futtei
dearth_2|kowAhI_2|noun|fusoku,futtei
dearth_3|kZillawa_1|noun|fusoku,futtei
deficiency_1|aBAva_3|noun|
deficiency_2|hInawA_1|noun|
deficiency_3|kamajZorI_1|noun|
deficiency_4|kamI_2|noun|
deficiency_5|kasara_1|noun|
deficiency_6|kora-kasara_1|noun|
deficiency_7|kowAhI_3|noun|
deficiency_8|nukawA_1|noun|
deficiency_9|nukZsa_1|noun|
deficiency_10|toti_1|noun|
deficiency_11|wodZA_1|noun|
deficiency_12|wruti_1|noun|
shortage_1|aBAva_4|noun|fusoku,ketsubou
shortage_2|kamI_3|noun|fusoku,ketsubou
shortage_3|waMgI_1|noun|fusoku,ketsubou
lack_1|aBAva_5|noun|fusoku
lack_2|kamI_4|noun|fusoku
uncontemplated_1|aBAviwa_1|verb|
heretofore_1|aba+waka_1|adjective|
free_1|abAXa_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_2|abaxXa_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_3|AjZAxa_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_4|ayukwa_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_5|binA+mUlya+ke_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_6|CuttA_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_7|DIla_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_8|DZIlA_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_9|KAlI_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_10|mukwa_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_11|mukwa+karanA_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_12|muPwa_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_13|muPZwa_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_14|niHSulka_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_15|nirbaMXa_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_16|nirbAXa_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_17|niSSulka_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_18|Pokata_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_19|PZrI_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_20|sAvakASa_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_21|svacCaMxa_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_22|svawaMwra_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_23|svAXIna_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_24|svecCA+se+xene+ko+wawpara_1|adjective|tada,furi-,muryou,jiyuuna,hima na
free_25|unmukwa_1|adjective|tada,furi-,muryou,jiyuuna,hima na
inhabited_1|AbAxa_1|verb|
populated_1|AbAxa_2|verb|
smooth_1|abAXa_2|adjective|nameraka
smooth_2|abAXiwa_1|adjective|nameraka
smooth_3|akaMtaka_1|adjective|nameraka
smooth_4|anavaruxXa_1|adjective|nameraka
smooth_5|cikanA_1|adjective|nameraka
smooth_6|ekasAra_1|adjective|nameraka
smooth_7|masqNa_1|adjective|nameraka
smooth_8|nirbAXa_2|adjective|nameraka
smooth_9|niRkaMtaka_1|adjective|nameraka
smooth_10|nirviGna_1|adjective|nameraka
smooth_11|sapAta_1|adjective|nameraka
smooth_12|snigXa_1|adjective|nameraka
prosperous_1|AbAxa_3|adjective|han'ei
prosperous_2|KuSahAla_1|adjective|han'ei
prosperous_3|saMmqxXa_1|adjective|han'ei
prosperous_4|saMpanna_1|adjective|han'ei
prosperous_5|susaMpanna_1|adjective|han'ei
prosperous_6|XanADZya_1|adjective|han'ei
population_1|AbAxI_1|noun|jinkou,juumin,shuudan
population_2|baswI_1|noun|jinkou,juumin,shuudan
population_3|janasaMKyA_1|noun|jinkou,juumin,shuudan
population_4|jana-saMKyA_1|noun|jinkou,juumin,shuudan
population_5|jana+samuxAya_1|noun|jinkou,juumin,shuudan
habitation_1|AbAxI_2|noun|sumai
habitation_2|nivAsa_1|noun|sumai
habitation_3|nivAsa+sWAna_1|noun|sumai
habitation_4|niveSa_1|noun|sumai
habitation_5|vAsa_1|noun|sumai
unrestricted_1|abAXiwa_2|adjective|
unrestricted_2|akuMTiwa_1|adjective|
unrestricted_3|aniyaMwriwa_1|adjective|
unrestricted_4|ayaMwriwa_1|adjective|
unrestricted_5|KulA_1|adjective|
unrestrained_1|abAXiwa_3|adjective|
unrestrained_2|anargala_1|adjective|
unrestrained_3|aniyaMwriwa_2|adjective|
unrestrained_4|asaMyawa_1|adjective|
unrestrained_5|bAXArahiwa_1|adjective|
unrestrained_6|niraMkuSa_1|adjective|
unrestrained_7|svawaMwra_2|adjective|
unrestrained_8|ucCqMKala_1|adjective|
unrestrained_9|uxxAma_1|adjective|
indecent_1|aBaxra_1|adjective|waisetsu,ecchi,mittomonai,ikagawashii,iyarashii
indecent_2|asaBya_1|adjective|waisetsu,ecchi,mittomonai,ikagawashii,iyarashii
indecent_3|aSlIla_1|adjective|waisetsu,ecchi,mittomonai,ikagawashii,iyarashii
indecent_4|aSoBana_1|adjective|waisetsu,ecchi,mittomonai,ikagawashii,iyarashii
indecorous_1|aBaxra_2|noun|
inauspicious_1|aBaxra_3|noun|
inauspicious_2|amAMgalika_1|noun|
inauspicious_3|aSiva_1|noun|
inauspicious_4|aSuBa_1|noun|
inauspicious_5|baxaSaguna_1|noun|
inauspicious_6|manahUsa_2|noun|
inauspicious_7|prawikUlaxarSana_1|noun|
lip_1|aBaxra+vyavahAra_1|noun|kuchibiru
lip_2|aXara_1|noun|kuchibiru
lip_3|cUma_1|noun|kuchibiru
lip_4|hoMTa_1|noun|kuchibiru
lip_5|laba_1|noun|kuchibiru
lip_6|oMTa_1|noun|kuchibiru
lip_7|oMTahoMTa_1|noun|kuchibiru
lip_8|oTa_1|noun|kuchibiru
lip_9|raxaCanxa_1|noun|kuchibiru
bound_1|AbaxXa_1|verb|
bound_2|baxXa_1|verb|
bound_3|kulAzce+mAra_1|verb|
bound_4|pAbaMxa_2|verb|
bound_5|prawiSruwa_1|verb|
bound_6|saMbaxXa_1|verb|
varied_1|abaxXa_2|verb|
varied_2|muKZwAliPZa_1|verb|
varied_3|nAnAviXa_1|verb|
fearlessness_1|aBaya_1|noun|
fearlessness_2|nidarapana_1|noun|
fearlessness_3|nidarapanA_1|noun|
fearlessness_4|nidarawA_1|noun|
fearlessness_5|nirBayawA_1|noun|
fearlessness_6|nirBIkawA_1|noun|
father_1|abbA_1|noun|chichi,otousan,oyaji,chichioya
father_2|bAbula_1|noun|chichi,otousan,oyaji,chichioya
father_3|bApa_1|noun|chichi,otousan,oyaji,chichioya
father_4|bApU_1|noun|chichi,otousan,oyaji,chichioya
father_5|janaka_1|noun|chichi,otousan,oyaji,chichioya
father_6|janmaxAwA_1|noun|chichi,otousan,oyaji,chichioya
father_7|pApA_1|noun|chichi,otousan,oyaji,chichioya
father_8|piwA_1|noun|chichi,otousan,oyaji,chichioya
father_9|pixara_1|noun|chichi,otousan,oyaji,chichioya
father_10|vAlixa_1|noun|chichi,otousan,oyaji,chichioya
father_11|wAwa_1|noun|chichi,otousan,oyaji,chichioya
nectar_1|AbehayAwa_1|noun|nekuta-
nectar_2|amqwa_1|noun|nekuta-
nectar_3|noSa_1|noun|nekuta-
nectar_4|pIyURa_1|noun|nekuta-
nectar_5|suXA_1|noun|nekuta-
identity_1|aBexa_1|noun|sujou,douitsusei,aidentiti-
identity_2|aBinnawA_1|noun|sujou,douitsusei,aidentiti-
identity_3|ananyawA_1|noun|sujou,douitsusei,aidentiti-
identity_4|ekarUpawA_1|noun|sujou,douitsusei,aidentiti-
identity_5|EkAwmya_1|noun|sujou,douitsusei,aidentiti-
identity_6|Ekya_1|noun|sujou,douitsusei,aidentiti-
identity_7|pahacAna_1|noun|sujou,douitsusei,aidentiti-
identity_8|wAxAwmya_1|noun|sujou,douitsusei,aidentiti-
oneness_1|aBexa_2|noun|
oneness_2|aBinnawA_2|noun|
oneness_3|ekA_1|noun|
oneness_4|ekawA_1|noun|
oneness_5|EkAwmya_2|noun|
oneness_6|Ekya_2|noun|
oneness_7|wAxAwmya_2|noun|
indivisible_1|aBexya_1|adjective|warikirenai
indivisible_2|aCexya_1|adjective|warikirenai
indivisible_3|aKaMda_1|adjective|warikirenai
indivisible_4|aKaMdanIya_1|adjective|warikirenai
indivisible_5|aviBAjya_1|adjective|warikirenai
indistinguishable_1|aBexya_2|noun|
impregnable_1|aBexya_3|noun|
impregnable_2|gahana_1|noun|
impregnable_3|xurBexya_1|noun|
impregnable_4|xurjaya_1|noun|
impenetrable_1|aBexya_4|adjective|fukashin
impenetrable_2|aCexya_2|adjective|fukashin
impenetrability_1|aBexyawA_1|noun|
just_1|aBI_1|adjective|
just_2|Axila_1|adjective|
just_3|Ena_1|adjective|
just_4|nyAyapriya_1|adjective|
just_5|nyAyapUrNa_1|adjective|
just_6|nyAyI_1|adjective|
just_7|nyAyociwa_1|adjective|
just_8|saxya:_1|adjective|
still_1|aBI_2|adjective|shizuka,seishi
still_2|acala_1|adjective|shizuka,seishi
still_3|cAhe_1|adjective|shizuka,seishi
still_4|ciwravaw_1|adjective|shizuka,seishi
still_5|cupakA_1|adjective|shizuka,seishi
still_6|haka_1|adjective|shizuka,seishi
still_7|niHspaMxa_1|adjective|shizuka,seishi
still_8|nIrava_1|adjective|shizuka,seishi
still_9|niSceRta_1|adjective|shizuka,seishi
still_10|niswabXa_1|adjective|shizuka,seishi
still_11|SAMwa_1|adjective|shizuka,seishi
still_12|SAnwa_1|adjective|shizuka,seishi
still_13|sWira_1|adjective|shizuka,seishi
still_14|waWApi_1|adjective|shizuka,seishi
still_15|waxapi_1|adjective|shizuka,seishi
defeat_1|aBiBava_1|noun|fukaku,haizan,haisen
defeat_2|hAra_1|noun|fukaku,haizan,haisen
defeat_3|harA_1|noun|fukaku,haizan,haisen
defeat_4|parABava_1|noun|fukaku,haizan,haisen
defeat_5|parAjaya_1|noun|fukaku,haizan,haisen
defeat_6|pIta_1|noun|fukaku,haizan,haisen
defeat_7|pitAI_1|noun|fukaku,haizan,haisen
defeat_8|Sikaswa_1|noun|fukaku,haizan,haisen
onslaught_1|aBiBava_2|noun|shuugeki
attack_1|aBiBava_3|noun|
attack_2|AkramaNa_1|noun|
attack_3|caDZAI_1|noun|
attack_4|hamalA_1|noun|
attack_5|XAvA_1|noun|
guardian_1|aBiBAvaka_1|noun|hogosha
guardian_2|muhAPZijZa_1|noun|hogosha
guardian_3|nigahabAna_1|noun|hogosha
guardian_4|saMrakRaka_1|noun|hogosha
guardian_5|valI_1|noun|hogosha
overwhelmed_1|aBiBUwa_1|verb|
overwhelmed_2|gaxgaxa_1|verb|
overwhelmed_3|prahawa_1|verb|
overwhelmed_4|vivhala_1|verb|
overpowered_1|aBiBUwa_2|verb|
overpowered_2|vaSIBUwa_1|verb|
overawed_1|aBiBUwa_3|noun|
incantation_1|aBicAra_1|noun|majinai,jujutsu,jumon
incantation_2|CUmaMwara_1|noun|majinai,jujutsu,jumon
incantation_3|maMwara_1|noun|majinai,jujutsu,jumon
incantation_4|maMwra_1|noun|majinai,jujutsu,jumon
sorcery_1|aBicAra_2|noun|
sorcery_2|aBicArarakriyA_1|noun|
sorcery_3|jAxUgarI_1|noun|
sorcery_4|jAxUtonA_1|noun|
conjurer_1|aBicAraraka_1|noun|
conjurer_2|jAxUgara_1|noun|
conjurer_3|maxArI_1|noun|
witchcraft_1|aBicArarakriyA_2|noun|majutsu
witchcraft_2|jaMwaramaMwara_1|noun|majutsu
witchcraft_3|jAxUtonA_2|noun|majutsu
witchcraft_4|tonAtotakA_1|noun|majutsu
witchcraft_5|yaMwramaMwra_1|noun|majutsu
incantational_1|aBicArI_1|noun|
incantatory_1|aBicArI_2|noun|
requisition_1|aBigrahaNa_1|noun|seikyuu
requisition_2|mAzga_1|noun|seikyuu
named_1|aBihiwa_1|verb|
named_2|nAmaka_1|verb|
named_3|nAmI_1|verb|
named_4|nAmiwa_1|verb|
designated_1|aBihiwa_2|verb|
designated_2|manonIwa_1|verb|
called_1|aBihiwa_3|verb|
aristocratic_1|aBijAwa_1|adjective|kizoku
aristocratic_2|aBijAwya_1|adjective|kizoku
aristocratic_3|amIrI_1|adjective|kizoku
aristocratic_4|kulIna_1|adjective|kizoku
aristocracy_1|aBijAwavarga_1|noun|kizoku
aristocracy_2|aBijAwavAxa_1|noun|kizoku
aristocracy_3|aBijAwawaMwra_1|noun|kizoku
aristocracy_4|ABijAwya_1|noun|kizoku
elite_1|aBijAwa+varga_1|noun|eri-to
nobility_1|aBijAwavarga_2|noun|
nobility_2|BalamanasAhawa_1|noun|
nobility_3|BaxrawA_1|noun|
nobility_4|kulInawA_1|noun|
nobility_5|raIsI_1|noun|
nobility_6|sAXuwA_1|noun|
nobility_7|TakurAI_1|noun|
classicism_1|aBijAwavAxa_2|noun|
classicism_2|ABijAwya_2|noun|
classicist_1|aBijAwavAxI_1|noun|
classic_1|aBijAwya_2|adjective|kotenteki
classic_2|grIka+lEtIna+yA+saMskqwa+ke+swara+kI_1|adjective|kotenteki
classic_3|sarvocca+koti+kA_1|adjective|kotenteki
recognition_1|aBijFAna_1|noun|
recognition_2|mAnawA_1|noun|
recognition_3|mAnyawA_1|noun|
recognition_4|pahacAna_2|noun|
recognition_5|pahacAnanA_1|noun|
recognition_6|prawyaBijFA_1|noun|
recognition_7|prawyaBijFAna_1|noun|
recollection_1|aBijFAna_2|noun|
recollection_2|smaraNa_1|noun|
recollection_3|surawi_1|noun|
recollection_4|yAxa_1|noun|
recollection_5|yAxaxehAnI_1|noun|
identification_1|aBijFAna_3|noun|mibunsyoumei,doutei,shiteki,shikibetsu
identification_2|niSAnaxehI_1|noun|mibunsyoumei,doutei,shiteki,shikibetsu
identification_3|pahacAna_3|noun|mibunsyoumei,doutei,shiteki,shikibetsu
identification_4|prawyaBijFA_2|noun|mibunsyoumei,doutei,shiteki,shikibetsu
identification_5|prawyaBijFAna_2|noun|mibunsyoumei,doutei,shiteki,shikibetsu
identification_6|SanAKZwa_1|noun|mibunsyoumei,doutei,shiteki,shikibetsu
identification_7|SinAKZwa_1|noun|mibunsyoumei,doutei,shiteki,shikibetsu
identification_8|SinAKZwaM_1|noun|mibunsyoumei,doutei,shiteki,shikibetsu
identification_9|wAxAwmya_3|noun|mibunsyoumei,doutei,shiteki,shikibetsu
anagnorisis_1|aBijFAna_4|noun|
anagnorisis_2|nigawi_1|noun|
conversance_1|aBijFawA_1|noun|
conversance_2|vAkiPZakArI_1|noun|
conversance_3|vAkZaPZiyawa_1|noun|
recognised_1|aBijFAwa_1|verb|
recognised_2|mAnyawAprApwa_1|verb|
familiarity_1|aBijFawA_2|noun|
familiarity_2|hela+mela_1|noun|
familiarity_3|pahacAna_4|noun|
familiarity_4|paricaya_1|noun|
familiarity_5|SIlawA_1|noun|
design_1|aBikalpa_1|noun|gara,sekkei,egara,dezain,zugara
design_2|aBiprAya_1|noun|gara,sekkei,egara,dezain,zugara
design_3|ASaya_1|noun|gara,sekkei,egara,dezain,zugara
design_4|dijZAina_1|noun|gara,sekkei,egara,dezain,zugara
design_5|maMwavya_1|noun|gara,sekkei,egara,dezain,zugara
design_6|manasUbA_1|noun|gara,sekkei,egara,dezain,zugara
design_7|namUnA_1|noun|gara,sekkei,egara,dezain,zugara
design_8|wAwparya_1|noun|gara,sekkei,egara,dezain,zugara
agent_1|aBikarwA_1|noun|chuukai,dairiten,dairigyousha,dairinin,e-jento,kusuri,shuusennin
agent_2|ejaMta_1|noun|chuukai,dairiten,dairigyousha,dairinin,e-jento,kusuri,shuusennin
agent_3|ejeMta_1|noun|chuukai,dairiten,dairigyousha,dairinin,e-jento,kusuri,shuusennin
agent_4|gumASwA_1|noun|chuukai,dairiten,dairigyousha,dairinin,e-jento,kusuri,shuusennin
agent_5|gurgA_1|noun|chuukai,dairiten,dairigyousha,dairinin,e-jento,kusuri,shuusennin
agent_6|kArakuna_1|noun|chuukai,dairiten,dairigyousha,dairinin,e-jento,kusuri,shuusennin
